lead_id,policy_id,type,sum_insured,premium,riders,co_pay_percent,room_rent_rule
H202500597,H202500597-P2,motor,300000,3499,,0,
H202500599,H202500599-P1,motor,300000,10713,,0,
H202500601,H202500601-P1,motor,500000,3380,,0,
H202500603,H202500603-P1,life,20000000,40056,accidental_cover;room_upgrade,0,
H202500604,H202500604-P1,motor,300000,8282,,0,
H202500605,H202500605-P1,health,700000,23044,,0,1% of SI
H202500606,H202500606-P1,life,20000000,28871,hospital_cash,0,
H202500607,H202500607-P1,motor,300000,8876,,0,
H202500608,H202500608-P1,motor,300000,3232,,0,
H202500609,H202500609-P1,health,1000000,15085,,0,Single Private Room
H202500610,H202500610-P1,motor,800000,8155,,0,
H202500611,H202500611-P1,motor,500000,2578,,0,
H202500611,H202500611-P2,life,2500000,33700,accidental_cover,0,
H202500612,H202500612-P1,motor,300000,7472,,0,
H202500613,H202500613-P1,health,700000,22610,hospital_cash,0,No Cap
H202500614,H202500614-P1,health,1000000,30880,,0,No Cap
H202500615,H202500615-P1,life,10000000,42803,hospital_cash;accidental_cover,0,
H202500615,H202500615-P2,motor,500000,8081,,0,
H202500616,H202500616-P1,life,20000000,18451,room_upgrade;critical_illness,0,
H202500617,H202500617-P1,health,500000,29941,critical_illness;room_upgrade,10,Single Private Room
H202500617,H202500617-P2,life,10000000,25798,,0,
H202500619,H202500619-P1,motor,500000,7787,,0,
H202500621,H202500621-P1,life,20000000,17071,,0,
H202500621,H202500621-P2,life,10000000,18078,,0,
H202500622,H202500622-P1,health,700000,14165,critical_illness;room_upgrade,0,Single Private Room
H202500623,H202500623-P1,health,2000000,12437,accidental_cover,20,Single Private Room
H202500623,H202500623-P2,motor,300000,7041,,0,
H202500629,H202500629-P1,life,2500000,18543,critical_illness,0,
H202500630,H202500630-P1,health,300000,25014,,0,No Cap
H202500633,H202500633-P1,life,5000000,26970,,0,
H202500636,H202500636-P1,health,300000,34998,,10,No Cap
H202500637,H202500637-P1,motor,800000,5450,,0,
H202500638,H202500638-P1,health,300000,34863,critical_illness;accidental_cover,0,Single Private Room
H202500639,H202500639-P1,health,300000,7536,accidental_cover;hospital_cash,0,1% of SI
H202500639,H202500639-P2,life,20000000,11357,room_upgrade;accidental_cover,0,
H202500640,H202500640-P1,motor,800000,3583,,0,
H202500640,H202500640-P2,life,20000000,36478,critical_illness,0,
H202500641,H202500641-P1,health,300000,19961,critical_illness,20,1% of SI
H202500641,H202500641-P2,motor,300000,7750,,0,
H202500642,H202500642-P1,motor,500000,11859,,0,
H202500643,H202500643-P1,motor,300000,10876,,0,
H202500643,H202500643-P2,life,5000000,19225,,0,
H202500644,H202500644-P1,health,300000,22818,,20,Single Private Room
H202500644,H202500644-P2,motor,800000,6693,,0,
H202500647,H202500647-P1,health,500000,6651,hospital_cash,20,1% of SI
H202500648,H202500648-P1,life,2500000,13751,critical_illness,0,
H202500648,H202500648-P2,motor,800000,8343,,0,
H202500649,H202500649-P1,motor,300000,10143,,0,
H202500651,H202500651-P1,health,1000000,25132,,0,No Cap
H202500653,H202500653-P1,motor,500000,6568,,0,
H202500654,H202500654-P1,health,500000,8033,room_upgrade;accidental_cover,0,1% of SI
H202500654,H202500654-P2,health,1000000,9413,critical_illness,10,1% of SI
H202500655,H202500655-P1,health,2000000,13640,room_upgrade;accidental_cover,0,No Cap
H202500656,H202500656-P1,life,10000000,19592,room_upgrade,0,
H202500657,H202500657-P1,health,700000,12418,critical_illness,20,Single Private Room
H202500658,H202500658-P1,life,2500000,41714,room_upgrade;accidental_cover,0,
H202500659,H202500659-P1,motor,300000,5377,,0,
H202500660,H202500660-P1,health,500000,21026,accidental_cover;room_upgrade,10,Single Private Room
H202500660,H202500660-P2,motor,800000,9828,,0,
H202500661,H202500661-P1,health,300000,13954,room_upgrade,0,1% of SI
H202500662,H202500662-P1,health,1000000,29627,hospital_cash;room_upgrade,10,No Cap
H202500664,H202500664-P1,motor,800000,10561,,0,
H202500665,H202500665-P1,life,2500000,42267,,0,
H202500666,H202500666-P1,life,20000000,27200,,0,
H202500666,H202500666-P2,life,20000000,43726,accidental_cover,0,
H202500668,H202500668-P1,life,10000000,41744,hospital_cash;room_upgrade,0,
H202500669,H202500669-P1,health,2000000,22765,,0,No Cap
H202500669,H202500669-P2,motor,800000,10672,,0,
H202500670,H202500670-P1,life,10000000,32304,critical_illness,0,
H202500670,H202500670-P2,life,10000000,23728,room_upgrade;critical_illness,0,
H202500671,H202500671-P1,motor,300000,7418,,0,
H202500673,H202500673-P1,health,2000000,23224,critical_illness;hospital_cash,20,1% of SI
H202500674,H202500674-P1,life,2500000,40315,,0,
H202500675,H202500675-P1,life,2500000,8895,hospital_cash,0,
H202500677,H202500677-P1,life,20000000,39431,hospital_cash;critical_illness,0,
H202500679,H202500679-P1,health,1000000,32143,accidental_cover;hospital_cash,0,1% of SI
H202500680,H202500680-P1,motor,500000,6679,,0,
H202500683,H202500683-P1,motor,800000,10619,,0,
H202500683,H202500683-P2,life,2500000,11703,critical_illness,0,
H202500684,H202500684-P1,motor,500000,6183,,0,
H202500684,H202500684-P2,health,300000,22341,critical_illness;hospital_cash,20,No Cap
H202500685,H202500685-P1,health,300000,13101,,10,1% of SI
H202500686,H202500686-P1,life,20000000,18442,accidental_cover;room_upgrade,0,
H202500690,H202500690-P1,life,5000000,32914,room_upgrade;critical_illness,0,
H202500691,H202500691-P1,motor,500000,7077,,0,
H202500693,H202500693-P1,motor,300000,5972,,0,
H202500693,H202500693-P2,life,20000000,25010,hospital_cash,0,
H202500698,H202500698-P1,life,2500000,24820,,0,
H202500700,H202500700-P1,life,5000000,25699,room_upgrade,0,
H202500702,H202500702-P1,life,5000000,27905,,0,
H202500702,H202500702-P2,health,300000,9760,accidental_cover,0,No Cap
H202500704,H202500704-P1,health,1000000,33570,critical_illness,0,Single Private Room
H202500705,H202500705-P1,motor,800000,11076,,0,
H202500707,H202500707-P1,life,5000000,10404,room_upgrade,0,
H202500710,H202500710-P1,motor,500000,10065,,0,
H202500711,H202500711-P1,health,2000000,17240,room_upgrade;critical_illness,0,1% of SI
H202500712,H202500712-P1,life,10000000,10364,accidental_cover;room_upgrade,0,
H202500714,H202500714-P1,health,300000,34741,,0,No Cap
H202500716,H202500716-P1,health,300000,32826,hospital_cash,0,Single Private Room
H202500717,H202500717-P1,health,2000000,24414,hospital_cash;room_upgrade,20,No Cap
H202500717,H202500717-P2,health,500000,12101,critical_illness;accidental_cover,0,Single Private Room
H202500718,H202500718-P1,health,300000,9849,,20,Single Private Room
H202500719,H202500719-P1,health,700000,34115,,20,No Cap
H202500720,H202500720-P1,motor,800000,4731,,0,
H202500723,H202500723-P1,life,10000000,38903,hospital_cash;critical_illness,0,
H202500724,H202500724-P1,health,300000,27813,accidental_cover;hospital_cash,20,1% of SI
H202500725,H202500725-P1,life,20000000,23703,hospital_cash,0,
H202500726,H202500726-P1,health,500000,27790,accidental_cover;room_upgrade,10,1% of SI
H202500727,H202500727-P1,motor,500000,6778,,0,
H202500730,H202500730-P1,health,300000,19154,room_upgrade;accidental_cover,0,No Cap
H202500730,H202500730-P2,life,2500000,26514,accidental_cover,0,
H202500731,H202500731-P1,life,2500000,8505,,0,
H202500732,H202500732-P1,life,10000000,15233,critical_illness;room_upgrade,0,
H202500734,H202500734-P1,life,10000000,40739,,0,
H202500735,H202500735-P1,health,300000,6864,accidental_cover;room_upgrade,0,1% of SI
H202500736,H202500736-P1,motor,800000,5362,,0,
H202500737,H202500737-P1,health,500000,18501,critical_illness,20,No Cap
H202500739,H202500739-P1,life,20000000,31090,accidental_cover,0,
H202500740,H202500740-P1,motor,800000,6520,,0,
H202500740,H202500740-P2,life,20000000,29034,,0,
H202500743,H202500743-P1,life,5000000,15929,accidental_cover,0,
H202500745,H202500745-P1,life,20000000,38786,critical_illness,0,
H202500746,H202500746-P1,health,2000000,11546,accidental_cover;room_upgrade,0,1% of SI
H202500747,H202500747-P1,motor,800000,9045,,0,
H202500748,H202500748-P1,life,10000000,30454,,0,
H202500749,H202500749-P1,life,20000000,28981,,0,
H202500749,H202500749-P2,health,300000,11283,hospital_cash,20,Single Private Room
H202500750,H202500750-P1,health,1000000,26788,room_upgrade;hospital_cash,10,1% of SI
H202500750,H202500750-P2,motor,300000,5510,,0,
H202500751,H202500751-P1,health,500000,28249,,20,Single Private Room
H202500752,H202500752-P1,health,700000,9718,critical_illness;accidental_cover,20,1% of SI
H202500755,H202500755-P1,life,5000000,41647,,0,
H202500756,H202500756-P1,health,700000,18495,room_upgrade;accidental_cover,0,1% of SI
H202500757,H202500757-P1,health,1000000,9560,hospital_cash;room_upgrade,20,1% of SI
H202500759,H202500759-P1,health,2000000,17522,hospital_cash;room_upgrade,10,No Cap
H202500760,H202500760-P1,motor,800000,7368,,0,
H202500762,H202500762-P1,life,20000000,39556,accidental_cover,0,
H202500765,H202500765-P1,life,2500000,22485,,0,
H202500766,H202500766-P1,life,5000000,27391,accidental_cover;hospital_cash,0,
H202500766,H202500766-P2,life,2500000,35901,room_upgrade;accidental_cover,0,
H202500767,H202500767-P1,life,20000000,8179,critical_illness,0,
H202500768,H202500768-P1,motor,300000,7966,,0,
H202500769,H202500769-P1,life,5000000,33396,room_upgrade;critical_illness,0,
H202500769,H202500769-P2,motor,800000,8751,,0,
H202500770,H202500770-P1,health,500000,29388,,20,1% of SI
H202500771,H202500771-P1,life,20000000,33222,hospital_cash,0,
H202500771,H202500771-P2,life,20000000,11071,hospital_cash;critical_illness,0,
H202500774,H202500774-P1,motor,500000,4612,,0,
H202500777,H202500777-P1,life,20000000,22458,room_upgrade,0,
H202500777,H202500777-P2,life,10000000,24859,room_upgrade,0,
H202500778,H202500778-P1,motor,800000,4296,,0,
H202500778,H202500778-P2,health,1000000,17358,accidental_cover;hospital_cash,0,Single Private Room
H202500781,H202500781-P1,motor,500000,4788,,0,
H202500782,H202500782-P1,health,700000,27993,,20,No Cap
H202500785,H202500785-P1,health,700000,21365,critical_illness,0,1% of SI
H202500786,H202500786-P1,health,500000,10004,room_upgrade;accidental_cover,0,No Cap
H202500793,H202500793-P1,motor,800000,5615,,0,
H202500793,H202500793-P2,health,700000,28956,critical_illness,0,1% of SI
H202500796,H202500796-P1,motor,300000,8400,,0,
H202500797,H202500797-P1,motor,800000,8877,,0,
H202500798,H202500798-P1,motor,300000,4689,,0,
H202500799,H202500799-P1,life,10000000,19118,hospital_cash;room_upgrade,0,
H202500800,H202500800-P1,health,2000000,19734,,0,Single Private Room
H202500801,H202500801-P1,life,10000000,38064,,0,
H202500803,H202500803-P1,health,500000,28660,critical_illness;accidental_cover,0,1% of SI
H202500803,H202500803-P2,motor,300000,10380,,0,
H202500804,H202500804-P1,life,10000000,31401,hospital_cash,0,
H202500804,H202500804-P2,life,2500000,21633,critical_illness,0,
H202500805,H202500805-P1,life,2500000,27461,room_upgrade,0,
H202500806,H202500806-P1,motor,800000,7417,,0,
H202500807,H202500807-P1,health,2000000,28251,,10,Single Private Room
H202500808,H202500808-P1,motor,500000,3979,,0,
H202500809,H202500809-P1,life,10000000,44571,room_upgrade;hospital_cash,0,
H202500809,H202500809-P2,life,10000000,42445,room_upgrade,0,
H202500810,H202500810-P1,health,1000000,6145,accidental_cover,0,No Cap
H202500811,H202500811-P1,motor,800000,7898,,0,
H202500811,H202500811-P2,motor,800000,9267,,0,
H202500813,H202500813-P1,motor,300000,7874,,0,
H202500813,H202500813-P2,health,700000,25238,room_upgrade,10,Single Private Room
H202500815,H202500815-P1,life,5000000,37024,,0,
H202500815,H202500815-P2,health,500000,27196,accidental_cover,0,Single Private Room
H202500816,H202500816-P1,life,5000000,28724,room_upgrade,0,
H202500817,H202500817-P1,life,20000000,12435,accidental_cover;critical_illness,0,
H202500817,H202500817-P2,health,500000,6434,hospital_cash,0,1% of SI
H202500820,H202500820-P1,life,5000000,29177,,0,
H202500821,H202500821-P1,motor,800000,4969,,0,
H202500821,H202500821-P2,health,700000,26436,accidental_cover,0,Single Private Room
H202500822,H202500822-P1,life,5000000,35080,critical_illness;hospital_cash,0,
H202500823,H202500823-P1,health,500000,17375,accidental_cover,0,No Cap
H202500824,H202500824-P1,motor,500000,5401,,0,
H202500824,H202500824-P2,motor,800000,7242,,0,
H202500825,H202500825-P1,motor,800000,7927,,0,
H202500826,H202500826-P1,health,500000,28390,accidental_cover,0,1% of SI
H202500827,H202500827-P1,motor,300000,5065,,0,
H202500828,H202500828-P1,life,10000000,34046,,0,
H202500829,H202500829-P1,life,2500000,29927,critical_illness;accidental_cover,0,
H202500830,H202500830-P1,life,10000000,14785,,0,
H202500830,H202500830-P2,health,2000000,9461,critical_illness;room_upgrade,10,1% of SI
H202500831,H202500831-P1,motor,300000,6107,,0,
H202500832,H202500832-P1,health,2000000,18613,,0,1% of SI
H202500832,H202500832-P2,health,700000,6695,room_upgrade,0,Single Private Room
H202500833,H202500833-P1,health,1000000,16737,accidental_cover,20,No Cap
H202500833,H202500833-P2,motor,300000,4427,,0,
H202500834,H202500834-P1,health,300000,7936,hospital_cash;critical_illness,10,Single Private Room
H202500835,H202500835-P1,health,700000,12144,accidental_cover;room_upgrade,20,No Cap
H202500835,H202500835-P2,life,20000000,38119,,0,
H202500836,H202500836-P1,health,2000000,29615,critical_illness;hospital_cash,0,No Cap
H202500838,H202500838-P1,health,500000,23016,,0,Single Private Room
H202500839,H202500839-P1,health,1000000,27238,,0,1% of SI
H202500840,H202500840-P1,life,2500000,41427,,0,
H202500840,H202500840-P2,health,300000,14839,critical_illness;room_upgrade,20,1% of SI
H202500841,H202500841-P1,health,300000,9185,room_upgrade,20,Single Private Room
H202500841,H202500841-P2,life,2500000,16984,critical_illness;room_upgrade,0,
H202500843,H202500843-P1,motor,500000,8448,,0,
H202500845,H202500845-P1,motor,500000,6542,,0,
H202500845,H202500845-P2,motor,300000,3002,,0,
H202500848,H202500848-P1,health,500000,34499,hospital_cash;room_upgrade,0,1% of SI
H202500850,H202500850-P1,motor,500000,3547,,0,
H202500851,H202500851-P1,life,10000000,39101,,0,
H202500852,H202500852-P1,life,10000000,35210,critical_illness;room_upgrade,0,
H202500853,H202500853-P1,motor,800000,3408,,0,
H202500854,H202500854-P1,life,2500000,11252,accidental_cover;hospital_cash,0,
H202500855,H202500855-P1,motor,500000,11136,,0,
H202500855,H202500855-P2,motor,500000,4201,,0,
H202500857,H202500857-P1,health,700000,11393,,20,Single Private Room
H202500857,H202500857-P2,health,700000,26755,,0,Single Private Room
H202500859,H202500859-P1,motor,800000,10189,,0,
H202500860,H202500860-P1,life,20000000,22384,accidental_cover;room_upgrade,0,
H202500863,H202500863-P1,motor,800000,5845,,0,
H202500864,H202500864-P1,life,10000000,42642,accidental_cover,0,
H202500865,H202500865-P1,life,10000000,44175,critical_illness,0,
H202500865,H202500865-P2,motor,800000,4757,,0,
H202500866,H202500866-P1,motor,800000,3077,,0,
H202500867,H202500867-P1,health,2000000,15635,critical_illness,0,1% of SI
H202500867,H202500867-P2,health,700000,7790,,10,Single Private Room
H202500868,H202500868-P1,health,700000,33337,room_upgrade,0,Single Private Room
H202500868,H202500868-P2,life,2500000,25361,critical_illness,0,
H202500869,H202500869-P1,life,20000000,8159,room_upgrade;accidental_cover,0,
H202500869,H202500869-P2,motor,800000,4483,,0,
H202500871,H202500871-P1,motor,500000,6898,,0,
H202500874,H202500874-P1,health,2000000,28475,critical_illness,0,No Cap
H202500874,H202500874-P2,motor,300000,5695,,0,
H202500875,H202500875-P1,motor,300000,11522,,0,
H202500876,H202500876-P1,motor,500000,3013,,0,
H202500877,H202500877-P1,life,5000000,19413,critical_illness,0,
H202500878,H202500878-P1,health,1000000,32207,accidental_cover,0,No Cap
H202500879,H202500879-P1,motor,300000,4116,,0,
H202500880,H202500880-P1,life,5000000,42882,,0,
H202500881,H202500881-P1,motor,500000,9059,,0,
H202500882,H202500882-P1,motor,800000,7763,,0,
H202500883,H202500883-P1,motor,500000,7739,,0,
H202500885,H202500885-P1,health,700000,9012,,0,No Cap
H202500886,H202500886-P1,life,5000000,8143,hospital_cash;accidental_cover,0,
H202500886,H202500886-P2,motor,800000,11468,,0,
H202500887,H202500887-P1,life,10000000,14788,,0,
H202500887,H202500887-P2,health,500000,32960,accidental_cover;critical_illness,0,No Cap
H202500888,H202500888-P1,life,10000000,43682,accidental_cover;hospital_cash,0,
H202500889,H202500889-P1,motor,800000,5435,,0,
H202500891,H202500891-P1,health,2000000,27645,critical_illness;accidental_cover,0,Single Private Room
H202500891,H202500891-P2,life,2500000,16479,,0,
H202500892,H202500892-P1,life,5000000,10322,,0,
H202500893,H202500893-P1,motor,300000,10208,,0,
H202500893,H202500893-P2,motor,500000,3796,,0,
H202500894,H202500894-P1,health,700000,16069,critical_illness,10,1% of SI
H202500895,H202500895-P1,motor,500000,9138,,0,
H202500896,H202500896-P1,motor,500000,2753,,0,
H202500897,H202500897-P1,life,10000000,25505,hospital_cash;accidental_cover,0,
H202500898,H202500898-P1,life,10000000,43452,,0,
H202500900,H202500900-P1,life,10000000,14284,,0,
H202500903,H202500903-P1,life,2500000,11035,critical_illness;hospital_cash,0,
H202500905,H202500905-P1,motor,500000,8029,,0,
H202500906,H202500906-P1,health,1000000,27924,room_upgrade;critical_illness,10,1% of SI
H202500907,H202500907-P1,life,10000000,15266,critical_illness;room_upgrade,0,
H202500908,H202500908-P1,life,10000000,11564,critical_illness;room_upgrade,0,
H202500908,H202500908-P2,motor,300000,8157,,0,
H202500910,H202500910-P1,motor,300000,7210,,0,
H202500910,H202500910-P2,health,300000,7667,critical_illness;accidental_cover,10,Single Private Room
H202500913,H202500913-P1,motor,500000,5827,,0,
H202500916,H202500916-P1,motor,300000,10781,,0,
H202500918,H202500918-P1,health,500000,20586,accidental_cover;hospital_cash,0,1% of SI
H202500919,H202500919-P1,motor,500000,9192,,0,
H202500920,H202500920-P1,life,2500000,22920,accidental_cover;room_upgrade,0,
H202500920,H202500920-P2,motor,300000,11627,,0,
H202500921,H202500921-P1,motor,500000,2566,,0,
H202500923,H202500923-P1,life,10000000,24069,hospital_cash,0,
H202500923,H202500923-P2,motor,500000,8044,,0,
H202500924,H202500924-P1,health,500000,25762,room_upgrade,0,Single Private Room
H202500924,H202500924-P2,motor,500000,6223,,0,
H202500925,H202500925-P1,motor,800000,5204,,0,
H202500925,H202500925-P2,motor,800000,6557,,0,
H202500926,H202500926-P1,life,5000000,29147,hospital_cash,0,
H202500927,H202500927-P1,life,5000000,8217,critical_illness,0,
H202500928,H202500928-P1,life,2500000,28688,hospital_cash;critical_illness,0,
H202500930,H202500930-P1,motor,300000,9782,,0,
H202500932,H202500932-P1,life,10000000,13478,,0,
H202500934,H202500934-P1,motor,300000,2801,,0,
H202500935,H202500935-P1,life,10000000,15800,accidental_cover;room_upgrade,0,
H202500935,H202500935-P2,health,1000000,31956,critical_illness,20,Single Private Room
H202500936,H202500936-P1,motor,800000,3390,,0,
H202500937,H202500937-P1,health,500000,7924,,0,Single Private Room
H202500937,H202500937-P2,health,2000000,34339,critical_illness,10,Single Private Room
H202500941,H202500941-P1,motor,800000,11523,,0,
H202500942,H202500942-P1,motor,800000,8834,,0,
H202500942,H202500942-P2,health,500000,22967,,10,No Cap
H202500943,H202500943-P1,motor,800000,8780,,0,
H202500944,H202500944-P1,health,2000000,31602,,0,1% of SI
H202500944,H202500944-P2,motor,300000,10762,,0,
H202500946,H202500946-P1,health,300000,13055,room_upgrade;critical_illness,0,No Cap
H202500948,H202500948-P1,life,10000000,10870,,0,
H202500949,H202500949-P1,life,2500000,37913,critical_illness,0,
H202500950,H202500950-P1,life,5000000,12222,hospital_cash,0,
H202500950,H202500950-P2,motor,500000,8318,,0,
H202500952,H202500952-P1,motor,300000,9435,,0,
H202500955,H202500955-P1,health,2000000,8583,critical_illness;accidental_cover,10,Single Private Room
H202500957,H202500957-P1,health,1000000,18239,critical_illness,20,1% of SI
H202500960,H202500960-P1,motor,500000,10664,,0,
H202500960,H202500960-P2,motor,300000,3557,,0,
H202500961,H202500961-P1,motor,300000,9178,,0,
H202500963,H202500963-P1,motor,800000,10077,,0,
H202500963,H202500963-P2,health,1000000,33786,accidental_cover;hospital_cash,0,1% of SI
H202500964,H202500964-P1,life,2500000,34740,critical_illness;hospital_cash,0,
H202500965,H202500965-P1,life,2500000,26903,,0,
H202500967,H202500967-P1,health,2000000,30142,accidental_cover;room_upgrade,20,Single Private Room
H202500967,H202500967-P2,life,10000000,15935,,0,
H202500969,H202500969-P1,health,1000000,31483,critical_illness,20,Single Private Room
H202500970,H202500970-P1,motor,300000,11200,,0,
H202500971,H202500971-P1,health,500000,21740,accidental_cover,0,No Cap
H202500972,H202500972-P1,health,500000,30931,hospital_cash;room_upgrade,10,Single Private Room
H202500974,H202500974-P1,motor,300000,3121,,0,
H202500975,H202500975-P1,health,2000000,17144,accidental_cover,20,No Cap
H202500975,H202500975-P2,motor,500000,10993,,0,
H202500976,H202500976-P1,health,2000000,6683,room_upgrade;accidental_cover,20,Single Private Room
H202500976,H202500976-P2,life,20000000,20461,accidental_cover;critical_illness,0,
H202500977,H202500977-P1,health,2000000,14125,,0,No Cap
H202500978,H202500978-P1,motor,300000,10551,,0,
H202500980,H202500980-P1,health,1000000,13376,accidental_cover;critical_illness,20,No Cap
H202500982,H202500982-P1,health,2000000,17565,critical_illness;hospital_cash,10,1% of SI
H202500985,H202500985-P1,health,2000000,15734,hospital_cash,10,No Cap
H202500986,H202500986-P1,life,2500000,39929,hospital_cash,0,
H202500988,H202500988-P1,motor,800000,2721,,0,
H202500988,H202500988-P2,health,500000,6001,,0,No Cap
H202500991,H202500991-P1,health,2000000,22309,accidental_cover,0,Single Private Room
H202500992,H202500992-P1,life,20000000,39745,room_upgrade,0,
H202500992,H202500992-P2,life,5000000,11562,accidental_cover;room_upgrade,0,
H202500995,H202500995-P1,life,10000000,20692,critical_illness,0,
H202500998,H202500998-P1,life,20000000,23231,hospital_cash,0,
H202500999,H202500999-P1,health,300000,13395,critical_illness;room_upgrade,0,Single Private Room
H202501000,H202501000-P1,health,2000000,28078,critical_illness,0,Single Private Room
H202501001,H202501001-P1,health,300000,33405,,20,Single Private Room
H202501001,H202501001-P2,health,500000,32729,,0,No Cap
H202501002,H202501002-P1,life,5000000,32639,,0,
H202501003,H202501003-P1,health,700000,20161,,20,No Cap
H202501004,H202501004-P1,life,10000000,15401,accidental_cover,0,
H202501006,H202501006-P1,life,20000000,10320,,0,
H202501008,H202501008-P1,motor,300000,9697,,0,
H202501011,H202501011-P1,life,2500000,29982,hospital_cash;room_upgrade,0,
H202501011,H202501011-P2,health,700000,14673,accidental_cover;room_upgrade,0,No Cap
H202501012,H202501012-P1,health,700000,8727,accidental_cover;critical_illness,0,Single Private Room
H202501013,H202501013-P1,health,500000,32746,hospital_cash;critical_illness,10,Single Private Room
H202501013,H202501013-P2,motor,500000,10581,,0,
H202501014,H202501014-P1,life,2500000,23532,,0,
H202501016,H202501016-P1,health,500000,28592,,10,1% of SI
H202501016,H202501016-P2,life,5000000,36280,,0,
H202501017,H202501017-P1,life,2500000,12059,hospital_cash;accidental_cover,0,
H202501017,H202501017-P2,life,5000000,38660,hospital_cash;accidental_cover,0,
H202501018,H202501018-P1,motor,500000,2791,,0,
H202501019,H202501019-P1,motor,300000,6411,,0,
H202501022,H202501022-P1,life,10000000,8426,,0,
H202501022,H202501022-P2,motor,800000,5176,,0,
H202501023,H202501023-P1,motor,800000,5791,,0,
H202501024,H202501024-P1,life,5000000,39957,,0,
H202501025,H202501025-P1,motor,300000,9450,,0,
H202501026,H202501026-P1,motor,300000,5650,,0,
H202501027,H202501027-P1,health,500000,28752,accidental_cover;hospital_cash,0,No Cap
H202501027,H202501027-P2,health,500000,17052,room_upgrade,10,Single Private Room
H202501028,H202501028-P1,motor,800000,4418,,0,
H202501029,H202501029-P1,motor,800000,10778,,0,
H202501030,H202501030-P1,life,10000000,16523,critical_illness;hospital_cash,0,
H202501030,H202501030-P2,life,2500000,32833,critical_illness;hospital_cash,0,
H202501031,H202501031-P1,motor,300000,7550,,0,
H202501031,H202501031-P2,motor,800000,11458,,0,
H202501032,H202501032-P1,life,2500000,25115,accidental_cover;hospital_cash,0,
H202501033,H202501033-P1,health,700000,6467,critical_illness,0,1% of SI
H202501034,H202501034-P1,health,500000,14208,critical_illness;hospital_cash,10,1% of SI
H202501035,H202501035-P1,life,2500000,25716,,0,
H202501036,H202501036-P1,motor,300000,10019,,0,
H202501036,H202501036-P2,health,1000000,16300,,0,1% of SI
H202501037,H202501037-P1,health,500000,20005,,0,1% of SI
H202501037,H202501037-P2,life,20000000,39000,room_upgrade;hospital_cash,0,
H202501039,H202501039-P1,health,1000000,9848,hospital_cash,20,Single Private Room
H202501041,H202501041-P1,motor,300000,10301,,0,
H202501042,H202501042-P1,life,5000000,25672,,0,
H202501043,H202501043-P1,health,1000000,24622,critical_illness,0,1% of SI
H202501044,H202501044-P1,health,300000,22228,,0,No Cap
H202501044,H202501044-P2,health,300000,20923,accidental_cover,0,No Cap
H202501045,H202501045-P1,motor,500000,11492,,0,
H202501046,H202501046-P1,health,700000,6347,,0,Single Private Room
H202501046,H202501046-P2,health,500000,20781,,0,Single Private Room
H202501049,H202501049-P1,health,1000000,29952,accidental_cover;critical_illness,0,No Cap
H202501051,H202501051-P1,life,10000000,11553,accidental_cover,0,
H202501051,H202501051-P2,life,10000000,12151,room_upgrade,0,
H202501052,H202501052-P1,health,500000,10755,,0,1% of SI
H202501052,H202501052-P2,life,5000000,15059,room_upgrade;critical_illness,0,
H202501053,H202501053-P1,health,700000,34561,accidental_cover,0,1% of SI
H202501054,H202501054-P1,life,2500000,22616,room_upgrade,0,
H202501054,H202501054-P2,motor,500000,8824,,0,
H202501055,H202501055-P1,health,2000000,30769,,10,Single Private Room
H202501057,H202501057-P1,health,300000,21121,,10,Single Private Room
H202501058,H202501058-P1,health,700000,6740,accidental_cover,10,1% of SI
H202501063,H202501063-P1,motor,800000,3359,,0,
H202501065,H202501065-P1,life,20000000,42900,accidental_cover;critical_illness,0,
H202501066,H202501066-P1,life,10000000,43612,hospital_cash,0,
H202501066,H202501066-P2,life,20000000,35373,hospital_cash;room_upgrade,0,
H202501067,H202501067-P1,motor,300000,7405,,0,
H202501069,H202501069-P1,life,2500000,37640,hospital_cash;critical_illness,0,
H202501071,H202501071-P1,life,2500000,17011,,0,
H202501073,H202501073-P1,motor,300000,10875,,0,
H202501074,H202501074-P1,motor,500000,9355,,0,
H202501074,H202501074-P2,motor,500000,7214,,0,
H202501075,H202501075-P1,health,300000,15464,hospital_cash,0,No Cap
H202501076,H202501076-P1,motor,500000,8074,,0,
H202501077,H202501077-P1,health,500000,25521,room_upgrade;accidental_cover,0,No Cap
H202501080,H202501080-P1,health,300000,27802,,0,No Cap
H202501082,H202501082-P1,life,5000000,17359,accidental_cover,0,
H202501083,H202501083-P1,motor,500000,8271,,0,
H202501084,H202501084-P1,motor,800000,6785,,0,
H202501084,H202501084-P2,life,2500000,15046,accidental_cover;hospital_cash,0,
H202501085,H202501085-P1,health,2000000,21806,,20,1% of SI
H202501086,H202501086-P1,life,10000000,35117,,0,
H202501087,H202501087-P1,life,2500000,8340,room_upgrade,0,
H202501090,H202501090-P1,life,10000000,38656,critical_illness,0,
H202501091,H202501091-P1,motor,500000,8383,,0,
H202501092,H202501092-P1,health,300000,8588,critical_illness,10,No Cap
H202501092,H202501092-P2,health,300000,17588,,20,Single Private Room
H202501093,H202501093-P1,health,1000000,32537,room_upgrade,0,1% of SI
H202501093,H202501093-P2,motor,300000,3937,,0,
H202501095,H202501095-P1,motor,300000,8175,,0,
H202501098,H202501098-P1,life,5000000,19126,,0,
H202501100,H202501100-P1,health,700000,25105,critical_illness,0,No Cap
